Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard
2012,Qtr 2,June,6,Mount,Sikorsly,Sikorsly S 58ETOB,Hualla Hualla Mount,Peru Heli          Mamarosa Cusco,0,14,14
2013,Qtr 3,July,7,Alaksa,de Havilland Canada,de Havilland Canada DHC 3TN93PC,Soldotna Alaksa,Air Rediske,0,10,10
2013,Qtr 4,November,9,Malinau,Mil,Mil   Mi,Pujungan Malinau,Borneo          district Military - Indonesian Army,0,13,21
2013,Qtr 4,November,29,Nambia,Embraer,Embraer ERJ 190ARC9,Bwabwata National Park Nambia,Airline Mozambique,0,33,33
2016,Qtr 1,January,8,Norrbotten,Canadair,Canadair CRJ 200SE,Akkajaure Lake Norrbotten,Sweden West Air Sweden,0,2,2
2016,Qtr 2,April,29,"Norway	CHC",Eurocopter EC225LP Super Puma M2+,"Eurocopter EC225LP Super Puma M2+ 	LN OJF","Sorta Norway	CHC",Service Helikopter,0,13,13
2017,Qtr 3,July,10,Mississipi,Lockheed,Lockheed KC 130T Hercules165000,Near Itta Bena Mississipi,USMC,0,16,16
2018,Qtr 1,January,29,Suiyang,Shaanxi,Shaanxi Y 8GX,Zhengchang Suiyang,Guizhou Province          County People's Liberation Army Air Force,0,12,12
2018,Qtr 3,September,28,Micronesia,Boeing,Boeing 737 8BKP2,Chuuk Micronesia,Niugini Air,0,1,47
1919,Qtr 3,July,21,Illinois,FD Type,FD Type Dirigible?,Chicago Illinois,Tire Goodyear Express Air Wingfoot,10,3,0
1935,Qtr 1,January,8,Pakistan,Wapiti?,Wapiti?,Near Karachi Pakistan,Force Air Indian,15,0,2
1937,Qtr 3,August,27,Papua,Stinson,Stinson SR 7 ReliantVH,Wau Papua,Airways GuineaGuinea New,1,1,1
1939,Qtr 2,May,8,Ecuador,Curtiss,Curtiss  Wright C,Guayaquil Ecuador,Force Air Ecuadorian - Military,22,1,1
1946,Qtr 4,December,25,Jiangsu,Curtiss,Curtiss C 47?,Near Wusong Jiangsu,China CNAC,3,13,34
1949,Qtr 3,July,13,Gujarat,Hawker,Hawker Hunter?,Jamnagar Gujarat,India          state Indian Air Force,14,0,0
1953,Qtr 4,December,17,Mariana,Boeing,Boeing B 2944,Guam Mariana,Force Air U.S. - IslandsMilitary,8,11,16
1954,Qtr 2,April,8,SK,Canadair,Canadair C 4,Moose Jaw SK,Canada Trans Canada Air Lines / RCAF,1,36,36
1959,Qtr 2,June,30,Ryukyu,North American,North American F 100D,Ishikawa City Ryukyu,Okinawa          Island Military - U.S. Air Force,17,0,1
1966,Qtr 4,December,24,Da,Canadair,Canadair CL 44D4,Binh Tahi Da,Vietnam          Nang Flying Tiger Line,125,4,4
1968,Qtr 3,September,28,Biafra,Douglas,Douglas C 54BN90427,Port Harcourt Biafra,Nigeria Pan African Airlines,1,57,57
1969,Qtr 1,January,5,Horley,Boeing,Boeing B 727,Gatwick Airport Horley,Surrey,2,48,62
1969,Qtr 1,March,16,Zulia,McDonnell Douglas,McDonnell Douglas DC 9,Maracaibo Zulia,Venezuela Venezolana Internacional de Aviacion,71,84,84
1972,Qtr 4,December,8,Chicago,Boeing,Boeing B 737,Midway Airport Chicago,Illinois United Air Lines,2,43,61
1976,Qtr 2,May,23,Philipines,BAC,BAC One Eleven 527FKRP,Zamboanga Philipines,Lines Air Philippine,3,14,87
1982,Qtr 1,January,13,D.C.Air,Boeing,Boeing B 737,Washington D.C.Air,Florida,4,74,79
1998,Qtr 1,February,3,Trento,Grummand,Grummand EA 6B163045/CY,Near Cavalese Trento,Italy Military - U.S. Marine Corps,20,0,2
2001,Qtr 1,March,24,St.,de Havilland Canada,de Havilland Canada DHC 6 Twin OtterF,Gustavia St.,French West Indies          Barthélémy Air Caraibes,1,19,19
2021,Qtr 3,July,4,Sulu,Lockheed,Lockheed C 130H Hercules5125,Patikul Sulu,Philippines Military - Philippine Air Force,3,50,96
